Antecedents,Consequent,Support,Confidence,Lift,Leverage,Conviction,Minimum Support,Enriched Sample Rows,Fraud Rows,Legitimate Rows
V10_Low AND V12_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.12874779541446207,1.0,6.0,0.10728982951205174,inf,0.03,2268,378,1890
V10_Low AND V12_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.12566137566137567,1.0,6.0,0.10471781305114639,inf,0.03,2268,378,1890
V10_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.1247795414462081,1.0,6.0,0.10398295120517342,inf,0.03,2268,378,1890
V10_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.1247795414462081,1.0,6.0,0.10398295120517342,inf,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.06966490299823633,1.0,6.0,0.05805408583186361,inf,0.03,2268,378,1890
Amount_Low AND V10_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.06701940035273368,1.0,6.0,0.05584950029394474,inf,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V17_Low AND V3_Low,Class_Fraud,0.06701940035273368,1.0,6.0,0.05584950029394474,inf,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.06701940035273368,1.0,6.0,0.05584950029394474,inf,0.03,2268,378,1890
Amount_Low AND V10_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.06613756613756613,1.0,6.0,0.05511463844797178,inf,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.06613756613756613,1.0,6.0,0.05511463844797178,inf,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.06613756613756613,1.0,6.0,0.05511463844797178,inf,0.03,2268,378,1890
Amount_Medium AND V12_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.04056437389770723,1.0,6.0,0.03380364491475602,inf,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.03968253968253968,1.0,6.0,0.03306878306878307,inf,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.03968253968253968,1.0,6.0,0.03306878306878307,inf,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.03968253968253968,1.0,6.0,0.03306878306878307,inf,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.039241622574955906,1.0,6.0,0.032701352145796586,inf,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V12_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.039241622574955906,1.0,6.0,0.032701352145796586,inf,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.039241622574955906,1.0,6.0,0.032701352145796586,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V16_Low AND V3_Low,Class_Fraud,0.03571428571428571,1.0,6.0,0.02976190476190476,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.03527336860670194,1.0,6.0,0.029394473838918283,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V16_Low AND V17_Low,Class_Fraud,0.03439153439153439,1.0,6.0,0.028659611992945325,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.03439153439153439,1.0,6.0,0.028659611992945325,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V14_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V12_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V12_Low AND V14_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.033950617283950615,1.0,6.0,0.028292181069958847,inf,0.03,2268,378,1890
Time_Night AND V12_Low AND V16_Low AND V17_Low,Class_Fraud,0.03262786596119929,1.0,6.0,0.027189888300999412,inf,0.03,2268,378,1890
Time_Night AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.03262786596119929,1.0,6.0,0.027189888300999412,inf,0.03,2268,378,1890
Time_Night AND V12_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.03262786596119929,1.0,6.0,0.027189888300999412,inf,0.03,2268,378,1890
