Criterion,Max Depth,Min Samples Leaf,Mean CV Average Precision,CV Score Standard Deviation,Rank
entropy,8,20,0.7741571940953238,0.0278220574216829,1
entropy,12,20,0.7705551903370905,0.030665969076948022,2
entropy,5,20,0.7362579878094152,0.032701914374113086,3
entropy,8,5,0.734843242220757,0.01757263202220634,4
gini,12,20,0.7336097799175426,0.04217135685260094,5
entropy,12,5,0.7242244887811538,0.017228286820941293,6
entropy,5,5,0.703215235098589,0.037394558168273896,7
entropy,5,1,0.6963307128581101,0.03448912481304024,8
entropy,8,1,0.6930359662206836,0.046125029049544145,9
entropy,12,1,0.6498435978187965,0.02537909442948758,10
gini,12,5,0.6475872926147093,0.02949298698658024,11
gini,8,20,0.6302045504837274,0.05512838827729099,12
entropy,3,20,0.6168063632385826,0.0458051347171441,13
entropy,3,1,0.6168063632385826,0.0458051347171441,13
entropy,3,5,0.6168063632385826,0.0458051347171441,13
gini,8,5,0.5358225059394567,0.05695874032326974,16
gini,12,1,0.5344759967403118,0.03981259387390124,17
gini,8,1,0.49027709970683936,0.05929337655001325,18
gini,5,20,0.37105429953819485,0.17877781817945934,19
gini,5,1,0.33965531233892154,0.15081824969200536,20
gini,5,5,0.33963850439608023,0.15080555931023343,21
gini,3,20,0.290997364810023,0.1405017669164122,22
gini,3,5,0.290997364810023,0.1405017669164122,22
gini,3,1,0.290997364810023,0.1405017669164122,22
