Feature,Linear Regression,Ridge Regression
V1,-0.7248406776591136,-0.7204733929233041
V2,-0.9129043368441576,-0.9112360001964652
V3,-0.3932397428988113,-0.3906185014313754
V4,0.10880496702082411,0.1079461570858259
V5,-0.5707342797709795,-0.5697613963071283
V6,0.4163767234655335,0.4151298288716741
V7,-0.02685974103324295,-0.025572558694875642
V8,-0.21455432932657714,-0.2131516934921616
V9,-0.07791555759458425,-0.0782212719639679
V10,0.031227291146710988,0.030844346496385393
V11,-0.01057666921966025,-0.011050512705447152
V12,-0.1924040928457437,-0.19121225874193265
V13,0.061866185204740354,0.061441800383566544
V14,-0.03487822094445204,-0.03425895648644738
V15,-0.12266261230780172,-0.12252922416469143
V16,-0.21761238269327338,-0.21712740365419986
V17,0.026911546911963746,0.02695216712420482
V18,0.05899717361772594,0.059086039562855304
V19,-0.06838018274826789,-0.06805928222851249
V20,0.2654380548154207,0.2651496244936739
V21,0.13608854635083054,0.13604451277750135
V22,0.07346027376304924,0.0733881230842726
V23,-0.0497554626551385,-0.049737885826180654
V24,-0.008574323348410217,-0.008694708169855285
V25,0.0338193268954681,0.033512409934779004
V26,-0.03847149014572389,-0.03835199701471111
V27,-0.037187281219666316,-0.03745357039191226
V28,-0.025859247709127276,-0.025684990753233213
Hour,-0.02160508394384915,-0.02160260845776093
DayIndex,0.030373896006153842,0.030145454602084502
HourSin,-0.016485596568735467,-0.016498638432320675
HourCos,-0.08862661037957723,-0.08866625356397774
PCA_L2_Norm,-0.8504486959280657,-0.8443447389762604
